CustomerID,FirstName,LastName,Email,PhoneNumber,Address,City,State,PostalCode,Country,DateOfBirth,Gender
91b19556-93c4-4789-8a27-2627829a362e,Megan,Chang,greenwilliam@yahoo.com,759-382-4219x4892,15781 Hamilton Ridge Apt. 877,Bryanside,Alabama,12726,Saint Helena,2000-10-10,Female
6b1f4e21-7efd-4cc4-92aa-ee56668bd00f,Raymond,Summers,vclayton@cross.com,933.287.1158,48418 Olsen Plains Apt. 989,Seanfurt,Massachusetts,75952,Dominican Republic,1963-05-14,Female
7207957d-0c8e-4eb7-8661-0d4187c357e3,Ivan,Underwood,thomas12@mclean.net,+1-684-833-9694x77515,9533 Jessica Crescent,West Laura,Michigan,56354,Suriname,1947-11-03,Male
4c7233e1-ef7c-452b-83c6-e49e1a7fde44,Craig,Thomas,montoyacynthia@guzman.com,+1-916-151-0903x217,008 Oliver Village,Chadland,Tennessee,39961,Guernsey,1973-04-13,Female
f18c9eb8-9626-4c27-8a06-140fc54f9e51,Henry,Gordon,lyonspeter@howard-dennis.org,(302)258-4197,76984 Price Shoals,Erictown,New Jersey,97700,Belgium,1966-06-20,Female
20b02c84-aa55-46ee-97b1-c5674d1ee03c,Joanne,Stephens,kathleenolson@roberts.org,(466)109-3523,769 Johnson Well,Bartonton,Hawaii,58874,Bahrain,1961-04-01,Female
2db03bbf-6733-40dc-82a7-7412597c0ff7,Jacqueline,Griffin,hensontroy@yahoo.com,063.812.0665x030,891 David Run,Port Kevin,Vermont,24385,Bolivia,1975-12-22,Female
8f6ec4d2-4b5a-4026-bf88-bffc3dfa3527,Melissa,Sanders,hillshawn@callahan.net,+1-512-400-0348x5590,765 Jared Radial Suite 022,Mathewstad,Virginia,12783,Guadeloupe,1996-08-24,Female
918341aa-2761-4501-bb31-ed2f3a2a691e,Christine,Williams,tinaroberts@hays-anderson.com,304.281.4654x6118,5517 Holly Meadow Apt. 452,Lake Anne,South Dakota,11894,Bahrain,1998-07-30,Female
14b502bb-938f-4076-85eb-9c9b387ddeac,Christopher,Brady,zsmith@stone.org,001-361-534-9263x511,731 Sanders Fords,Port Jasonberg,Connecticut,26449,Kuwait,1969-05-02,Male
7a2eb11b-91ae-4201-9e2a-b5579365cca1,Michael,Wilcox,zhernandez@frazier.com,738.930.5550x8249,9471 Zachary Canyon,East Davidport,Alabama,59298,Greenland,2002-04-05,Male
cad93052-22e4-43db-b9c8-321d4644dc28,Eugene,Hernandez,william88@gmail.com,001-189-163-4896,9930 Joy Hollow Suite 517,Sherriport,Wyoming,53987,Hungary,1998-09-24,Female
dfd686e0-e6e1-460b-b69a-b0199e045128,Patrick,Martin,justingreer@mcmahon.biz,(791)256-0976,17200 Crystal Cove Suite 367,North Chelseamouth,South Carolina,83379,Vietnam,1966-08-07,Male
a7893a40-7d2b-4410-acc9-85482c4d4e25,Debra,Montes,susanhughes@yahoo.com,001-183-067-5375x1007,89933 Kimberly Road Suite 841,South Patricia,Nevada,11515,Vietnam,1950-09-26,Male
e31bfaad-4541-48d1-8bfb-bd409d5ff5dd,Robert,Garcia,moodyryan@johnson-calhoun.com,001-415-115-0552x0351,03104 Norris Rapids,Port Donald,New Jersey,15232,Lesotho,1967-01-18,Female
